"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"MANUFACTURER";"MPN";"OPERATING_TEMPERATURE";"PART_STATUS";"PITCH";"POPULARITY";"ROHS_COMPLIANCE";"SERIES";"SUB-CATEGORY";"TYPE";
"01";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"02";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"03";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"04";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"05";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"06";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"07";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"08";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"C1";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"C2";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"I1";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"I2";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"I3";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"I4";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"I5";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"I6";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"JP2";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"JP4";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"JP6";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"JP8";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"JP10";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"JP12";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"JP21";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"JP23";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"JP27";"";"PINHD-2X20";"2X20";"PIN HEADER";"";"";"";"";"";"";"";"12";"";"";"";"";
"V_C1";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
"V_C2";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"Headers";"Header, Straight, 1 Position ";"Generic";"Generic";"Generic";"Active";"0.100" (2.54mm)";"";"Generic";"Generic";"Headers, Male Pins";"Board to Board or Cable, Unshrouded, Through Hole, Straight";
